Comment,Designator,Footprint,LCSC Part #
1M,R2 R13,RESC1608X60,C22935
1u,C3 C9 C11 C13 C15,CAPC1608X85,C15849
5k1,R12 R14,RESC1608X60,C23186
10u,C1 C2 C16 C17 C18 C19,CAPC1608X85,C19702
10uH,L1,L0603,C1035
22u,C4 C5 C6 C7 C20 C21 C22,CAPC1608X85,C59461
68k,R3 R8 R9 R10 R11,RESC1608X60,C23231
75,R1,RESC1608X60,C4275
100,R6 R7,RESC1608X60,C22775
100n,C8 C10 C12 C14,CAPC1608X85,C14663
120,R4 R5 R15 R16 R17 R18 R19 R20 R21 R22 R23,RESC1608X60,C22787
470,R24 R25 R26 R27,RESC1608X60,C23179
10164359-00011LF,J7,1016435900011LF,
CMI-9705-85-SMT-TR,LS1,CMI970585SMTTR,
FDN359BN,IC5 IC6 IC7 IC8,SOT95P251X112-3N,C5290365
LEDG,LED3 LED5,CHIPLED_0805,C2297
LEDR,LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14,CHIPLED_0805,C84256
LEDW,LED1,CHIPLED_0805,C34499
LEDY,LED2 LED4,CHIPLED_0805,C2296
SN74HC14PWR,IC2,SOP65P640X120-14N,SN74HC14PWR
SN74HCS08DYYR,IC4,SOP50P326X110-14N,
SN74HCS32BQAR,IC3,SN74HCS32BQAR,
SSA34-E3_5AT,D1,DIOM5127X229N,C22452
USBDiode,D2,SOD-123FL,C64898
XTLV61048DBVR,IC1,SOT95P280X145-6N,C2861467
