Designator,Mid X,Mid Y,Layer,Rotation
C1,-1.78,22.86,Top,90.0
C2,-7.49,17.53,Top,270.0
C3,-7.24,20.19,Top,180.0
C4,-3.81,22.86,Top,270.0
C5,-5.84,22.86,Top,270.0
C6, 0.25,22.86,Top,270.0
C7,-8.00,22.86,Top,270.0
C8,-21.08,25.02,Top,270.0
C9,-23.11,25.02,Top,270.0
C10,-19.05,25.02,Top,270.0
C11,-16.51,23.75,Top,270.0
C12,-16.51,13.59,Top,90.0
C13,-8.26,13.59,Top,90.0
C14,24.26, 7.24,Top,0.0
C15,24.26, 9.14,Top,0.0
C16, 4.96, 9.64,Top,0.0
C17, 4.97, 7.51,Top,0.0
C18,19.42, 8.25,Top,270.0
C19,16.89, 8.03,Top,180.0
C20, 2.29,22.86,Top,270.0
C21, 4.32,22.86,Top,270.0
C22, 4.32,19.69,Top,90.0
D1,-2.41,14.22,Top,180.0
D2,22.99, 3.81,Top,0.0
D3,22.99, 1.14,Top,0.0
D4,22.99,-1.27,Top,0.0
IC1,-1.14,18.80,Top,90.0
IC5,-15.24, 8.89,Top,0.0
IC6,-7.62, 8.89,Top,0.0
IC7, 0.00, 8.89,Top,0.0
J6,27.94, 0.38,Top,90.0
L1,-4.57,18.67,Top,90.0
LED1,23.11,19.81,Top,240.0
LED2,-32.38, 9.40,Top,0.0
LED3,-30.35,12.32,Top,270.0
LED4,24.89,22.86,Top,240.0
LED5,26.54,19.69,Top,150.0
LED6,-16.00,30.23,Top,180.0
LED7,-13.97,30.23,Top,180.0
LED8,-11.94,30.23,Top,180.0
LED9,-4.06,-30.99,Top,90.0
LED10, 0.51,-30.99,Top,270.0
LED11, 5.21,-30.99,Top,270.0
LED12,-30.48, 9.40,Top,180.0
LED13,-28.45, 9.40,Top,0.0
LED14,24.00,21.34,Top,240.0
R1,19.94,15.24,Top,90.0
R2, 2.54,17.27,Top,180.0
R3, 2.29,19.69,Top,90.0
R4,-24.77, 9.40,Top,270.0
R5,28.45,16.64,Top,180.0
R6,-30.35,14.10,Top,180.0
R7,25.27,16.64,Top,0.0
R8,-19.05, 8.89,Top,270.0
R9,-11.68, 9.02,Top,270.0
R10,-3.81, 9.02,Top,270.0
R11,11.43,10.16,Top,90.0
R12,27.18, 7.11,Top,180.0
R13,29.97, 7.11,Top,180.0
R14,21.46, 8.26,Top,90.0
R15,-16.00,26.92,Top,90.0
R16,-13.97,26.92,Top,90.0
R17,-11.94,26.92,Top,90.0
R18,-8.00,-30.99,Top,0.0
R19, 0.38,-33.27,Top,0.0
R20, 9.27,-30.99,Top,180.0
R21,-26.42, 9.40,Top,270.0
R22,-22.73, 9.40,Top,270.0
R23,22.35,16.64,Top,180.0
