Designator,Mid X,Mid Y,Layer,Rotation
C1,-1.65,32.77,Top,270.0
C2, 0.00,32.77,Top,270.0
C3, 1.65,32.77,Top,270.0
C4,-7.49,-34.42,Top,90.0
C5,-5.33,-34.42,Top,90.0
C6,-3.30,-34.42,Top,90.0
C7, 3.18,-34.42,Top,90.0
C8, 5.33,-34.42,Top,90.0
C9, 7.49,-34.42,Top,90.0
C10,-5.08,-27.94,Top,180.0
C11,-5.08,-19.30,Top,180.0
C12,-5.08,-29.97,Top,180.0
C13,-5.08,-15.24,Top,180.0
C14,-5.08,-32.00,Top,180.0
C15,-5.08,-17.27,Top,180.0
C16,-5.08,-2.54,Top,180.0
C17,-5.08,-6.60,Top,180.0
C18,-5.08,-4.57,Top,180.0
C19,-5.08,10.16,Top,180.0
C20,-5.08, 6.10,Top,180.0
C21,-5.08, 8.13,Top,180.0
C22, 5.08,-8.89,Top,0.0
C23, 5.08,-25.65,Top,0.0
C24, 5.08,-23.62,Top,0.0
C25, 5.08,-21.59,Top,0.0
C26, 2.79,13.08,Top,90.0
C27, 5.08,-10.92,Top,0.0
C28, 5.08, 3.81,Top,0.0
C29, 5.08,-0.25,Top,0.0
C30, 5.08, 1.78,Top,0.0
C31, 6.48,13.08,Top,90.0
C32, 5.08,-12.95,Top,0.0
C33, 4.57,13.08,Top,90.0
IC1,-5.84,19.81,Top,270.0
IC2, 0.00,19.81,Top,270.0
IC3, 5.84,19.81,Top,270.0
LED2, 5.84,16.13,Top,90.0
LED3, 0.00,36.70,Top,90.0
R1,-1.65,29.46,Top,270.0
R2, 2.92,21.34,Top,90.0
R3, 0.00,29.46,Top,270.0
R4, 2.92,17.78,Top,90.0
R5, 1.65,29.46,Top,270.0
R6, 0.00,35.05,Top,180.0
