Comment,Designator,Footprint,LCSC Part #
1M,R2 R13,RESC1608X60,C22935
1k,R4 R11,RESC1608X60,C21190
1u,C3 C8 C10 C15,CAPC1608X85,C15849
5k1,R12 R14,RESC1608X60,C23186
10k,R1 R5 R6 R7 R8,RESC1608X60,C25804
10u,C1 C2 C23 C30 C31 C32 C33 C34 C36,CAPC1608X85,C96446
10uH,L1,L0603,C1035
20k,R10,RESC1608X60,C4184
22u,C4 C5 C6 C7 C12 C18 C20 C21 C22 C39 C40 C41 C42,CAPC1608X85,C59461
33,R15 R18 R19,RESC1608X60,C23140
51,R20,RESC1608X60,C23197
100,R16,RESC1608X60,C22775
100k,R9,RESC1608X60,C25803
100n,C9 C11 C13 C14 C16 C17 C19 C26 C27 C28 C29 C35,CAPC1608X85,C14663
120k,R3,RESC1608X60,C25808
150,R17,RESC1608X60,C22808
470n,C24 C25,CAPC1608X85,C1623
BMI323,IC5,BMI323,
DPS310XTSA1,IC4,DPS310XTSA1,
ESP32-S3-WROOM-1U-N16,IC1,ESP32S3WROOM1UN16,
LEDG,LED1 LED4 LED5,CHIPLED_0805,C2297
LEDR,LED6,CHIPLED_0805,C84256
LEDW,LED2,CHIPLED_0805,C34499
LEDY,LED3,CHIPLED_0805,C2296
MCP96L00T-E_MX,IC6,QFN65P500X500X100-21N,
MLX90395KLW-BBA-001-SP,IC7,QFN50P300X300X100-17N,
MSD-4-A,J1,MSD4A,
QWIIC_RIGHT_ANGLE,J2 J3,JST04_1MM_RA,
RA-01H,U1,XCVR_RA-01H,
SSA34-E3_5AT,D1 D2,DIOM5127X229N,C22452
TLV1117LV33DCYR,IC3,SOT230P700X180-4N,
USBC,J6,USB-C-16P-2LAYER-PADS,
XTLV61048DBVR,IC2,SOT95P280X145-6N,
