Comment,Designator,Footprint,LCSC Part #
1M,R2,RESC1608X60,C22935
1M,R13,RESC1005X40,C26083
1k,R4 R11,RESC1005X40,C11702
1u,C3 C8 C10 C15 C44 C46,CAPC1005X60,C52923
5k1,R5 R6 R7 R8,RESC1005X40,C25905
5k1,R12 R14,RESC1608X60,C23186
10k,R1,RESC1005X40,C25744
10u,C1,CAPC1005X60,C15525
10u,C2,CAPC1608X85,C96446
10u,C23 C24,CAPC1005X60,C15525
10u,C30 C31 C32 C33 C34 C36,CAPC1608X85,C96446
10uH,L1,L0603,
20k,R10,RESC1005X40,C25765
22u,C4 C5 C6 C7 C12 C18 C20 C21 C22 C39 C40 C41 C42,CAPC1608X85,C59461
33,R15 R18,RESC1005X40,C25105
51,R20,RESC1608X60,C23197
75,R19,RESC1608X60,C4275
100,R16,RESC1005X40,C25076
100k,R9,RESC1005X40,C25741
100n,C9 C11 C13 C14 C16 C17 C19 C25 C26 C27 C28 C29 C35 C37 C38 C43 C45,CAPC1005X60,C1525
120k,R3,RESC1608X60,C25808
150,R17,RESC1608X60,C22808
APDS-9253-001,IC8,APDS9253001,
BME688,IC9,BME688,
DPS368XTSA1,IC4,DPS368XTSA1,
ESP32-S3-WROOM-1U-N16,IC1,ESP32S3WROOM1UN16,
H3LIS331DLTR,AC1,LIS3DHTR,
LEDG,LED1 LED4,CHIPLED_0805,C2297
LEDR,LED6,CHIPLED_0805,C84256
LEDW,LED2,CHIPLED_0805,C34499
LEDY,LED3 LED5,CHIPLED_0805,C2296
LSM6DSV16BXTR,IC6,LSM6DSV16BXTR,
MMC5983MA,IC7,MMC5983MA,
MSD-4-A,J1,MSD4A,
QWIIC_RIGHT_ANGLE,J2 J3,JST04_1MM_RA,
RA-01H,U1,XCVR_RA-01H,
SSA34-E3_5AT,D1 D2,DIOM5127X229N,C22452
TLV1117LV33DCYR,IC3,SOT230P700X180-4N,C15578
TS-1187A-B-A-B,S1 S2,TS1187ABAB,C318884
USB4105-GF-A,J5,GCT_USB4105-GF-A,C3039324
XTLV61048DBVR,IC2,SOT95P280X145-6N,C2861467
