Designator,Mid X,Mid Y,Layer,Rotation
C1,29.10,-57.30,Top,270.0
C2, 2.00,-49.00,Top,90.0
C3, 6.00,-46.00,Top,90.0
C4,24.67,-42.30,Top,0.0
C5,21.87,-42.30,Top,180.0
C6,17.70,-42.30,Top,0.0
C7,27.00,-57.30,Top,90.0
C8,14.60,-44.50,Top,90.0
C9,14.60,-47.40,Top,270.0
C10,14.60,-50.30,Top,90.0
C11, 3.40,-99.00,Top,180.0
C12, 6.40,-99.00,Top,0.0
C13,21.70,-96.30,Top,270.0
C14,30.10,-98.50,Top,90.0
C15,32.00,-98.50,Top,90.0
C16,23.50,-93.50,Top,270.0
C17,20.30,-76.70,Top,180.0
C18, 9.50,-99.00,Top,0.0
C19, 6.00,-58.50,Top,0.0
C20,31.00,-45.00,Top,270.0
C21,30.90,-42.30,Top,180.0
C22,27.67,-42.30,Top,180.0
C23, 2.80,-58.50,Top,180.0
C24,23.70,-46.20,Top,90.0
C25,17.70,-58.00,Top,90.0
C26,23.80,-49.70,Top,90.0
C27,23.80,-52.50,Top,270.0
C28,19.70,-58.00,Top,270.0
C29,21.60,-56.40,Top,90.0
C30, 2.00,-43.00,Top,270.0
C31, 4.00,-43.00,Top,270.0
C32, 6.00,-43.00,Top,270.0
C33, 4.00,-46.00,Top,90.0
C34, 2.00,-46.00,Top,90.0
C35,28.60,-59.60,Top,180.0
C36,14.90,-42.30,Top,180.0
C39,12.80,-50.30,Top,270.0
C40,21.60,-53.60,Top,90.0
C41,23.60,-56.40,Top,270.0
C42,22.70,-58.70,Top,180.0
D1, 6.70,-49.10,Top,0.0
D2,27.90,-93.00,Top,0.0
IC1,10.00,-88.00,Top,90.0
IC2, 9.60,-44.20,Top,90.0
IC3,19.20,-47.70,Top,270.0
IC4,18.60,-54.70,Top,180.0
IC5,27.00,-51.00,Top,90.0
IC6,12.60,-55.50,Top,0.0
IC7,27.10,-45.60,Top,0.0
J1,33.00,-81.00,Top,90.0
J2,35.00,-60.00,Top,90.0
J3,35.00,-67.00,Top,90.0
J5,38.28,-94.94,Top,90.0
L1,11.00,-49.00,Top,90.0
LED1,22.70,-74.00,Top,180.0
LED2,31.00,-52.00,Top,180.0
LED3,24.00,-89.50,Top,225.0
LED4,22.73,-70.23,Top,0.0
LED5,22.73,-66.67,Top,0.0
LED6,22.73,-62.99,Top,0.0
R1,21.70,-93.50,Top,270.0
R2,12.60,-42.70,Top,270.0
R3,12.60,-45.70,Top,270.0
R4,15.00,-99.00,Top,180.0
R5,28.60,-61.50,Top,0.0
R6,28.60,-63.40,Top,0.0
R7,28.60,-65.30,Top,0.0
R8,28.60,-67.20,Top,0.0
R9,31.00,-55.00,Top,180.0
R10,28.00,-55.00,Top,180.0
R11,20.30,-74.80,Top,180.0
R12,28.00,-98.50,Top,270.0
R13,31.00,-90.00,Top,180.0
R14,26.00,-98.50,Top,270.0
R15,22.70,-77.60,Top,270.0
R16,31.00,-48.00,Top,270.0
R17,22.60,-91.30,Top,180.0
R18,24.38,-70.23,Top,270.0
R19,24.38,-66.80,Top,270.0
R20,24.38,-63.12,Top,270.0
S1,29.23,-38.61,Top,180.0
S2,21.15,-38.61,Top,180.0
U1, 9.80,-68.30,Top,0.0
